id,prod,age,Sum Assured,Term,Term_if,Premium,sex
1,1,44,1190000,0,72,1722.66,0
2,1,37,1230000,0,48,959.64,1
3,1,36,760000,0,60,799.06,0
4,1,45,1100000,0,108,992.57,1
5,1,41,1100000,0,84,1320.51,0
6,1,36,1160000,0,72,1169.05,0
7,1,46,1140000,0,24,1540.36,1
8,1,38,700000,0,48,840.32,0
9,1,37,880000,0,120,522.88,1
10,1,41,1230000,0,36,1780.57,0
11,1,43,860000,0,48,901.47,1
12,1,38,870000,0,24,1145.41,0
13,1,47,1050000,0,120,1449.11,0
14,1,45,820000,0,24,1052.9,1
15,1,32,890000,0,72,506.77,1
16,1,49,930000,0,60,1804.77,0
17,1,46,940000,0,84,985.33,1
18,1,46,1030000,0,48,1256.92,1
19,1,51,1090000,0,60,1631.74,1
20,1,38,1110000,0,48,908.53,1
21,1,41,1050000,0,96,819.21,1
22,1,41,1190000,0,120,1251.16,0
23,1,39,1390000,0,12,1385.49,1
24,1,54,1420000,0,84,3199.69,0
25,1,38,1310000,0,24,1182.06,1
26,1,44,640000,0,84,606.82,1
27,1,41,870000,0,0,1456.94,0
28,1,40,1110000,0,120,1118.66,0
29,1,47,1090000,0,60,1916.95,0
30,1,37,1040000,0,72,1093.45,0
31,1,35,1020000,0,96,911.2,0
32,1,44,1010000,0,60,1534.41,0
33,1,44,1360000,0,0,1837.62,1
34,1,35,860000,0,12,1032.4,0
35,1,41,1100000,0,120,1156.54,0
36,1,44,1030000,0,36,1724.88,0
37,1,32,1270000,0,120,612.31,1
38,1,38,1400000,0,84,994.45,1
39,1,55,1020000,0,120,2079.98,0
40,1,41,1220000,0,96,951.84,1
41,1,34,1600000,0,72,992.87,1
42,1,47,710000,0,120,979.87,0
43,1,42,1140000,0,36,1731.91,0
44,1,36,1010000,0,96,626.75,1
45,1,62,780000,0,12,2519.72,1
46,1,39,930000,0,0,1412.87,0
47,1,43,1050000,0,108,1260.48,0
48,1,48,1000000,0,96,1102.6,1
49,1,46,870000,0,120,785.03,1
50,1,39,1210000,0,84,900.44,1
51,1,45,950000,0,0,1937.24,0
52,1,32,1050000,0,72,903.02,0
53,1,38,870000,0,84,914.72,0
54,1,49,1220000,0,84,1488.78,1
55,1,52,1120000,0,12,3075.75,0
56,1,37,1180000,0,24,1013.8,1
57,1,36,1010000,0,120,868.62,0
58,1,47,970000,0,72,1624.4,0
59,1,42,1290000,0,0,1574.21,1
60,1,45,930000,0,0,1896.46,0
61,1,49,1100000,0,24,2478.63,0
62,1,37,1110000,0,0,1531.91,0
63,1,52,890000,0,120,1086.08,1
64,1,34,1000000,0,12,780.2,1
65,1,52,690000,0,12,1334.42,1
66,1,34,600000,0,72,372.33,1
67,1,45,1290000,0,12,1743.03,1
68,1,43,1230000,0,60,1226.01,1
69,1,45,800000,0,24,1477.79,0
70,1,42,1210000,0,36,1268.35,1
71,1,47,1060000,0,120,1005.05,1
72,1,47,1140000,0,24,2324.69,0
73,1,49,910000,0,48,1294.12,1
74,1,47,1060000,0,0,1670.57,1
75,1,33,1140000,0,108,910.41,0
76,1,35,1090000,0,120,903.14,0
77,1,44,990000,0,120,1188.46,0
78,1,42,970000,0,0,1705.91,0
79,1,35,1040000,0,24,811.4,1
80,1,35,1030000,0,36,1130.84,0
81,1,42,1160000,0,108,905.03,1
82,1,51,960000,0,120,1607.65,0
83,1,49,1260000,0,24,2839.16,0
84,1,44,1100000,0,12,2031.96,0
85,1,44,1030000,0,108,884.93,1
86,1,39,1050000,0,72,819.21,1
87,1,42,780000,0,84,980.24,0
88,1,35,940000,0,0,807.6,1
89,1,36,1070000,0,96,993.92,0
90,1,44,980000,0,48,1563.01,0
91,1,35,1160000,0,120,961.14,0
92,1,51,1060000,0,48,2388.5,0
93,1,33,720000,0,48,696.26,0
94,1,38,940000,0,24,848.19,1
95,1,41,980000,0,12,1563.01,0
96,1,44,1330000,0,12,2456.82,0
97,1,45,970000,0,36,1183.71,1
98,1,38,1300000,0,12,1794.13,0
99,1,36,1110000,0,84,1073.41,0
100,1,43,790000,0,60,787.44,1
101,1,47,1150000,0,84,1267.99,1
102,1,36,1360000,0,84,882.12,1
103,1,45,1030000,0,108,929.4,1
104,1,40,1300000,0,12,1362.69,1
105,1,45,1070000,0,24,1976.54,0
106,1,56,1220000,0,84,3037.52,0
107,1,39,770000,0,24,1062.68,0
108,1,35,1160000,0,12,1392.53,0
109,1,30,1010000,0,120,692.74,0
110,1,42,1370000,0,60,1298.97,1
111,1,39,830000,0,24,1145.48,0
112,1,47,950000,0,0,1497.21,1
113,1,45,890000,0,108,803.08,1
114,1,51,850000,0,60,1821.91,0
115,1,46,680000,0,36,1256.12,0
116,1,39,1090000,0,36,983.54,1
117,1,50,1020000,0,120,1626.81,0
118,1,40,1260000,0,0,1389.28,1
119,1,37,1350000,0,84,915.97,1
120,1,34,1240000,0,96,1066.43,0
121,1,35,1130000,0,48,1188.08,0
122,1,39,490000,0,24,464.6,1
123,1,44,940000,0,108,1181.32,0
124,1,43,1110000,0,60,1606.85,0
125,1,37,1110000,0,120,659.54,1
126,1,32,980000,0,0,729.28,1
127,1,41,990000,0,108,736.72,1
128,1,45,1040000,0,96,1435.31,0
129,1,30,1490000,0,108,688.8,1
130,1,36,1070000,0,36,834.81,1
131,1,44,600000,0,24,1055.2,0
132,1,42,1060000,0,48,1056.56,1
133,1,37,1070000,0,24,1344.69,0
134,1,35,840000,0,48,883.17,0
135,1,42,590000,0,120,439.06,1
136,1,36,1170000,0,12,1005.21,1
137,1,37,1100000,0,72,1156.54,0
138,1,42,1120000,0,108,873.82,1
139,1,42,1350000,0,120,1482.17,0
140,1,45,1060000,0,12,2057.05,0
141,1,44,850000,0,120,1020.39,0
142,1,47,1110000,0,12,2379.2,0
143,1,53,1150000,0,48,2863.23,0
